Sample,Points,Mean,Std,Min,Max,RMS,Peak2Peak,Energy,Group
SS1-2,1200,1.023735,0.06885850062507415,0.688,1.32,1.0260481681350702,0.6320000000000001,1263.329812,SS
SS1-3,1200,2.51455,0.060269927548211505,2.16,2.75,2.515272185403931,0.5899999999999999,7591.913,SS
SS1-4,1200,2.571716666666666,0.08159382976399354,2.34,2.79,2.573010720278224,0.4500000000000002,7944.461,SS
SS1-5,1200,-0.4289633333333333,0.06416971239524835,-0.668,-0.2,0.4337364330250957,0.468,225.752752,SS
SS2-1 (1),1200,2.3906916666666667,0.056751842236373466,2.12,2.63,2.3913651784423613,0.5099999999999998,6862.352900000001,SS
SS2-1(2),1200,-0.38048,0.06746423447526351,-0.704,-0.068,0.386414872039539,0.6359999999999999,179.179744,SS
SS2-2 (1),1200,2.4613916666666666,0.057639511308553694,2.16,2.77,2.4620664592979615,0.6099999999999999,7274.1255,SS
SS2-2(2),1200,-0.4037966666666666,0.06459039135626565,-0.664,-0.204,0.4089299043438455,0.4600000000000001,200.6684,SS
SS2-3 (1),1200,2.2882583333333333,0.05664112108020302,2.03,2.56,2.288959243120477,0.5300000000000002,6287.2013,SS
SS2-3(2),1200,-0.22482333333333335,0.06096033236640219,-0.568,0.02,0.23294139463249836,0.588,65.11403200000001,SS
SS2-4 (1),1200,1.855625,0.038729093822775264,1.66,2.04,1.8560291170489038,0.3800000000000001,4133.8129,SS
SS2-4(2),1200,0.1967033333333333,0.05984356263533187,-0.096,0.5,0.2056050907281562,0.596,50.728144,SS
SS2-5 (1),1200,0.1345,0.08359037025878041,-0.152,0.404,0.15835908562504394,0.556,30.09312,SS
SS2-5 (2),1200,2.51455,0.060269927548211505,2.16,2.75,2.515272185403931,0.5899999999999999,7591.913,SS
SS3-1 (1),1200,-0.5928066666666667,0.04878431396349537,-0.772,-0.388,0.594810602909307,0.384,424.559584,SS
SS3-1(2),1200,0.043829999999999994,0.07028388459194138,-0.216,0.272,0.08283050967688979,0.488,8.233072,SS
SS3-2 (1),1200,0.4960333333333333,0.0726691054636624,0.288,0.72,0.5013281028095938,0.432,301.59584,SS
SS3-2(2),1200,-0.06654333333333334,0.07410243893122247,-0.256,0.152,0.09959511366862667,0.40800000000000003,11.903024,SS
SS3-3 (1),1200,0.1345,0.08359037025878041,-0.152,0.404,0.15835908562504394,0.556,30.09312,SS
SS3-3 (2),1200,2.51455,0.060269927548211505,2.16,2.75,2.515272185403931,0.5899999999999999,7591.913,SS
SS3-4 (1),1200,1.7525249999999999,0.054115996171803675,1.54,1.96,1.7533603214019264,0.41999999999999993,3689.1269,SS
SS3-4(2),1200,-0.26625666666666664,0.05903208835502566,-0.516,-0.028,0.2727222029831821,0.488,89.25287999999999,SS
SS3-5 (1),1200,2.0244250000000004,0.05850215986041314,1.77,2.29,2.0252701260161157,0.52,4922.0629,SS
SS3-5 (2),1200,-0.28212,0.07138486487577975,-0.48,-0.068,0.29101115671625605,0.412,101.62499199999999,SS
SS4-0,1200,1.772375,0.09808300587597565,1.33,2.29,1.7750868758082425,0.96,3781.1201,SS
SS4-1,1200,-0.16397333333333333,0.06754296871046032,-0.416,0.108,0.17733952370147685,0.524,37.739168,SS
SS4-2,1200,-0.03318666666666666,0.07189366097848189,-0.416,0.228,0.07918366834981398,0.644,7.524064,SS
SS3-5 (2),1200,-0.28212,0.07138486487577975,-0.48,-0.068,0.29101115671625605,0.412,101.62499199999999,SS
SS4-4,1200,-0.66902,0.07587656379497779,-0.924,-0.472,0.6733090028607469,0.45200000000000007,544.014016,SS
SS4-5,1200,0.15156,0.06273621814125128,-0.14,0.448,0.16403129782656317,0.5880000000000001,32.28752,SS
SR1-0,1200,-5.489183333333333,0.042168310244648004,-5.82,-5.17,5.489345300974729,0.6500000000000004,36159.4942,SR
SR1-1,1200,0.56585,0.04589325476944659,0.316,0.752,0.5677080352904417,0.436,386.750896,SR
SR1-2,1200,1.04783,0.05412551246870556,0.836,1.24,1.0492269916467074,0.404,1321.0527359999999,SR
SR1-3,1200,0.6737866666666665,0.05964523861037768,0.368,0.944,0.6764214859587672,0.576,549.0552319999999,SR
SR1-4,1200,2.555133333333333,0.07221714170164557,2.32,2.78,2.5561536860421104,0.45999999999999996,7840.706,SR
SR1-5,1200,-0.31303,0.06482647941492221,-0.628,-0.076,0.3196721028387265,0.552,122.62830399999999,SR
SR2-1 (1),1200,1.9055833333333332,0.057698871065404896,1.67,2.12,1.9064566609288554,0.4500000000000002,4361.4924,SR
SR2-1(2),1200,0.36266,0.06753007527514437,0.104,0.576,0.368893733569258,0.472,163.299104,SR
SR2-2 (1),1200,1.595775,0.07506707694899716,1.16,1.98,1.5975396447871542,0.8200000000000001,3062.5595,SR
SR2-2(2),1200,0.75729,0.07143614327962189,0.552,0.952,0.7606518695610146,0.3999999999999999,694.30952,SR
SR2-3 (1),1200,0.8103266666666666,0.055686802346297054,0.496,1.05,0.8122378510428252,0.554,791.6763920000001,SR
SR2-3(2),1200,0.02451666666666667,0.06090900088565638,-0.232,0.284,0.06565800281255389,0.516,5.173168,SR
SR2-4 (1),1200,0.21447333333333332,0.05011948345925188,-0.016,0.424,0.22025161369064547,0.44,58.212928,SR
SR2-4(2),1200,0.08978666666666668,0.06899493572397582,-0.168,0.324,0.11323403493061027,0.492,15.386336,SR
SR2-5 (1),1200,0.09004333333333334,0.08783164647336529,-0.156,0.356,0.12578632676090037,0.512,18.98664,SR
SR1-3,1200,0.6737866666666665,0.05964523861037768,0.368,0.944,0.6764214859587672,0.576,549.0552319999999,SR
SR3-1 (1),1200,-1.0384900000000001,0.060531698858256655,-1.32,-0.78,1.0402526455946493,0.54,1298.55068,SR
SR3-1(2),1200,-0.22312999999999997,0.07207812728791817,-0.56,0.02,0.23448294891811072,0.5800000000000001,65.978704,SR
SR3-2 (1),1200,0.9993616666666666,0.07308275581299753,0.652,1.34,1.0020303538316593,0.6880000000000001,1204.8777960000002,SR
SR3-2(2),1200,0.13432333333333332,0.06396083793141619,-0.192,0.36,0.14877414649954027,0.552,26.560496,SR
SR2-3 (1),1200,0.8103266666666666,0.055686802346297054,0.496,1.05,0.8122378510428252,0.554,791.6763920000001,SR
